"treatment","dat_form","tx.mean","sd","n","sem","variable"
"CONV",2019-01-12,30.0495833333333,3.23887702834823,8,1.14511595508718,"Moisture depth (cm)"
"CONV",2019-01-25,30.0125,3.12334095643732,8,1.10426778512725,"Moisture depth (cm)"
"CONV",2019-01-31,29.9658333333333,3.19218365824032,8,1.1286073557673,"Moisture depth (cm)"
"CONV",2019-02-01,30.88625,3.25176847488958,8,1.14967376972153,"Moisture depth (cm)"
"CONV",2019-02-07,30.305625,3.16822191601646,8,1.12013560055954,"Moisture depth (cm)"
"CONV",2019-02-14,30.9695833333333,2.93337645395795,8,1.03710519118331,"Moisture depth (cm)"
"CONV",2019-02-20,30.3027083333333,3.06327373607761,8,1.08303081570556,"Moisture depth (cm)"
"CONV",2019-03-01,30.761875,3.08931330499653,8,1.09223719358644,"Moisture depth (cm)"
"CONV+WCC",2019-01-12,33.3737037037037,1.14079582899693,9,0.380265276332309,"Moisture depth (cm)"
"CONV+WCC",2019-01-25,33.1437037037037,1.37416282033467,9,0.458054273444889,"Moisture depth (cm)"
"CONV+WCC",2019-01-31,33.3596296296296,1.36027284277462,9,0.453424280924874,"Moisture depth (cm)"
"CONV+WCC",2019-02-01,34.4468518518519,1.21866258787509,9,0.40622086262503,"Moisture depth (cm)"
"CONV+WCC",2019-02-07,33.9268518518519,1.30760819725592,9,0.435869399085306,"Moisture depth (cm)"
"CONV+WCC",2019-02-14,34.5285185185185,1.12369320535148,9,0.374564401783828,"Moisture depth (cm)"
"CONV+WCC",2019-02-20,33.922037037037,1.35932626739667,9,0.453108755798889,"Moisture depth (cm)"
"CONV+WCC",2019-03-01,34.5305555555556,1.24080535003145,9,0.413601783343815,"Moisture depth (cm)"
"ORG",2019-01-12,33.317962962963,1.29542779768398,9,0.431809265894659,"Moisture depth (cm)"
"ORG",2019-01-25,33.567962962963,1.01717192969916,9,0.33905730989972,"Moisture depth (cm)"
"ORG",2019-01-31,33.0677777777778,1.17464090257406,9,0.391546967524688,"Moisture depth (cm)"
"ORG",2019-02-01,34.3655555555555,1.23473090860587,9,0.41157696953529,"Moisture depth (cm)"
"ORG",2019-02-07,33.872037037037,1.18026032256124,9,0.393420107520412,"Moisture depth (cm)"
"ORG",2019-02-14,34.3203703703704,1.10721490492091,9,0.369071634973636,"Moisture depth (cm)"
"ORG",2019-02-20,33.6518518518518,1.120404330676,9,0.373468110225334,"Moisture depth (cm)"
"ORG",2019-03-01,34.1790740740741,1.11431565667725,9,0.37143855222575,"Moisture depth (cm)"
